,CreditScore,FirstTimeHomebuyer,MSA,MIP,DTI,OrigUPB,LTV,OrigInterestRate,NumBorrowers,MonthsInRepayment,FirstPayment_Year,Maturity_Year,LTV_range,Repay_range,Credit_range
249,670.5336708,1,33124,30,26,114000,95,7.5,2,151,1999,2029,High,4,Good
250,670.5336708,1,33124,30,28,143000,95,7.125,1,34,1999,2029,High,1,Good
251,670.5336708,1,33124,30,30,81000,95,7.875,1,6,1999,2029,High,1,Good
252,670.5336708,1,33460,0,38,52000,51,6.75,1,149,1999,2029,High,4,Good
253,670.5336708,1,35380,0,35,109000,75,6.625,1,13,1999,2029,High,1,Good
254,670.5336708,1,35644,0,38,140000,78,7,2,48,1999,2029,High,2,Good
255,670.5336708,1,35644,0,29,198000,80,7,2,50,1999,2029,High,2,Good
256,670.5336708,1,35644,0,31,209000,80,6.875,1,174,1999,2029,High,4,Good
257,670.5336708,1,35644,25,40,248000,90,7.375,1,21,1999,2029,High,1,Good
258,670.5336708,1,36084,0,40,169000,80,6.75,2,54,1999,2029,High,2,Good
259,670.5336708,1,36540,25,31,76000,90,7,1,12,1999,2029,High,1,Good
260,670.5336708,1,37764,30,30,54000,95,7.25,1,137,1999,2029,High,3,Good
261,670.5336708,1,37860,30,42,179000,95,7,1,130,1999,2029,High,3,Good
262,670.5336708,1,37964,25,48,185000,90,6.875,1,66,1999,2029,High,2,Good
263,670.5336708,1,38060,30,21,61000,95,7,2,50,1999,2029,High,2,Good
264,670.5336708,1,38940,0,51,82000,80,7,1,212,1999,2029,High,5,Good
265,670.5336708,1,40380,30,27,42000,95,7.125,1,69,1999,2029,High,2,Good
266,670.5336708,1,41620,30,35,104000,95,6.875,1,91,1999,2029,High,2,Good
267,670.5336708,1,42044,0,26,176000,80,7.375,1,49,1999,2029,High,2,Good
268,670.5336708,1,45300,0,21,110000,67,6.75,1,52,1999,2029,High,2,Good
269,670.5336708,1,45300,30,31,48000,95,7,1,211,1999,2029,High,5,Good
270,670.5336708,1,46060,12,10,55000,85,7,1,70,1999,2029,High,2,Good
271,670.5336708,1,48424,30,33,57000,95,7.375,1,55,1999,2029,High,2,Good
272,670.5336708,1,48620,25,8,30000,86,7.5,1,57,1999,2029,High,2,Good
273,670.5336708,1,30660,0,26,45000,75,7,1,27,1999,2029,High,1,Good
274,670.5336708,1,30660,0,11,56000,80,6.625,2,212,1999,2029,High,5,Good
275,670.5336708,1,30660,0,23,60000,80,7,1,173,1999,2029,High,4,Good
276,670.5336708,1,30660,12,42,126000,81,7.25,1,54,1999,2029,High,2,Good
277,670.5336708,1,30660,25,28,77000,90,7.05,2,166,1999,2029,High,4,Good
278,670.5336708,1,30660,25,34,225000,90,6.5,1,71,1999,2029,High,2,Good
279,670.5336708,1,30660,30,33,41000,90,7.75,1,211,1999,2029,High,5,Good
280,670.5336708,1,30660,30,20,83000,95,7,1,44,1999,2029,High,1,Good
281,670.5336708,1,30660,30,21,35000,95,7.125,1,68,1999,2029,High,2,Good
282,670.5336708,1,30660,30,22,36000,95,6.875,1,50,1999,2029,High,2,Good
283,670.5336708,1,30660,30,22,51000,95,7.25,1,61,1999,2029,High,2,Good
284,670.5336708,1,30660,30,23,76000,95,6.625,1,58,1999,2029,High,2,Good
285,670.5336708,1,30660,30,38,38000,95,7,1,212,1999,2029,High,5,Good
286,670.5336708,0,19660,0,23,86000,69,7.375,1,160,1999,2024,High,4,Good
287,670.5336708,0,38900,0,22,92000,79,7.25,2,65,1999,2027,High,2,Good
288,670.5336708,0,11300,30,23,62000,95,6.875,2,69,1999,2029,High,2,Good
289,670.5336708,0,11460,0,19,200000,80,6.875,1,49,1999,2029,High,2,Good
290,670.5336708,0,12060,0,7,46000,66,7,1,50,1999,2029,High,2,Good
291,670.5336708,0,12060,0,22,150000,71,6.375,2,47,1999,2029,High,1,Good
292,670.5336708,0,12060,0,38,240000,72,6.75,1,20,1999,2029,High,1,Good
293,670.5336708,0,12060,0,34,82000,80,6.625,1,178,1999,2029,High,4,Good
294,670.5336708,0,12060,12,28,227000,82,6.375,2,50,1999,2029,High,2,Good
295,670.5336708,0,12060,25,29,124000,88,6.625,1,3,1999,2029,High,1,Good
296,670.5336708,0,12060,30,16,170000,95,6.625,2,50,1999,2029,High,2,Good
297,670.5336708,0,12100,0,30,80000,48,7.625,1,57,1999,2029,Medium,2,Good
298,670.5336708,0,12220,0,20,172000,69,6.625,1,45,1999,2029,High,1,Good
299,670.5336708,0,12220,30,39,87000,95,6.5,2,30,1999,2029,High,1,Good
300,670.5336708,0,12420,0,30,100000,80,6.75,1,61,1999,2029,High,2,Good
301,670.5336708,0,12580,25,11,49000,90,7.375,1,76,1999,2029,High,2,Good
302,670.5336708,0,12940,30,47,75000,95,6.875,2,47,1999,2029,High,1,Good
303,670.5336708,0,13644,0,12,200000,44,6.75,2,27,1999,2029,Medium,1,Good
304,670.5336708,0,13644,0,23,174000,79,7,1,53,1999,2029,High,2,Good
305,670.5336708,0,13644,30,44,155000,95,6.875,1,54,1999,2029,High,2,Good
306,670.5336708,0,13820,0,23,73000,32,6.625,2,52,1999,2029,Medium,2,Good
307,670.5336708,0,13980,0,9,109000,70,6.875,2,42,1999,2029,High,1,Good
308,670.5336708,0,14740,0,13,63000,58,7.5,2,48,1999,2029,High,2,Good
309,670.5336708,0,15540,30,29,103000,95,7.375,2,72,1999,2029,High,2,Good
310,670.5336708,0,15764,0,34,59000,70,6.875,1,151,1999,2029,High,4,Good
311,670.5336708,0,15764,0,23,55000,26,7.125,2,147,1999,2029,Medium,4,Good
312,670.5336708,0,15764,0,40,200000,50,7,2,26,1999,2029,High,1,Good
313,670.5336708,0,15764,0,35,230000,59,7.375,2,2,1999,2029,High,1,Good
